"Status","Name"
"Stopped","ALG"
"Stopped","AppIDSvc"
"Running","Appinfo"
"Stopped","AppMgmt"
"Running","AppReadiness"
"Stopped","AppVClient"
"Running","AppXSvc"
"Running","AudioEndpointBuilder"
"Running","Audiosrv"
"Stopped","AxInstSV"
"Running","BalloonService"
"Running","BFE"
"Stopped","BITS"
"Stopped","BluetoothUserService_4c4c6"
"Running","BrokerInfrastructure"
"Stopped","BTAGService"
"Stopped","BthAvctpSvc"
"Stopped","bthserv"
"Running","camsvc"
"Stopped","CaptureService_4c4c6"
"Running","cbdhsvc_4c4c6"
"Running","CDPSvc"
"Running","CDPUserSvc_4c4c6"
"Running","CertPropSvc"
"Running","ClipSVC"
"Stopped","CloudBackupRestoreSvc_4c4c6"
"Stopped","COMSysApp"
"Stopped","ConsentUxUserSvc_4c4c6"
"Running","CoreMessagingRegistrar"
"Stopped","CredentialEnrollmentManagerUserSvc_4c4c6"
"Running","CryptSvc"
"Stopped","CscService"
"Running","DcomLaunch"
"Stopped","dcsvc"
"Stopped","defragsvc"
"Stopped","DeviceAssociationBrokerSvc_4c4c6"
"Stopped","DeviceAssociationService"
"Running","DeviceInstall"
"Stopped","DevicePickerUserSvc_4c4c6"
"Stopped","DevicesFlowUserSvc_4c4c6"
"Stopped","DevQueryBroker"
"Running","Dhcp"
"Running","DiagTrack"
"Running","DispBrokerDesktopSvc"
"Stopped","DisplayEnhancementService"
"Stopped","DmEnrollmentSvc"
"Stopped","dmwappushservice"
"Running","Dnscache"
"Running","DoSvc"
"Stopped","dot3svc"
"Running","DPS"
"Stopped","DsmSvc"
"Stopped","DsSvc"
"Stopped","EapHost"
"Stopped","edgeupdate"
"Stopped","edgeupdatem"
"Stopped","EFS"
"Stopped","embeddedmode"
"Stopped","EntAppSvc"
"Running","EventLog"
"Running","EventSystem"
"Stopped","fdPHost"
"Stopped","FDResPub"
"Running","FontCache"
"Stopped","FrameServer"
"Stopped","FrameServerMonitor"
"Stopped","GameInputSvc"
"Running","gpsvc"
"Stopped","GraphicsPerfSvc"
"Stopped","hidserv"
"Stopped","HvHost"
"Stopped","IKEEXT"
"Running","InstallService"
"Stopped","InventorySvc"
"Running","iphlpsvc"
"Running","KeyIso"
"Stopped","KPSSVC"
"Stopped","KtmRm"
"Running","LanmanServer"
"Running","LanmanWorkstation"
"Running","lfsvc"
"Stopped","LicenseManager"
"Stopped","lltdsvc"
"Running","lmhosts"
"Stopped","LocalKdc"
"Running","LSM"
"Stopped","LxpSvc"
"Stopped","MapsBroker"
"Stopped","McpManagementService"
"Stopped","MicrosoftEdgeElevationService"
"Running","mpssvc"
"Running","MSDTC"
"Stopped","MSiSCSI"
"Stopped","msiserver"
"Stopped","NaturalAuthentication"
"Stopped","NcaSvc"
"Running","NcbService"
"Stopped","Netlogon"
"Stopped","Netman"
"Running","netprofm"
"Running","NetSetupSvc"
"Stopped","NetTcpPortSharing"
"Stopped","NgcCtnrSvc"
"Stopped","NgcSvc"
"Stopped","NlaSvc"
"Stopped","NPSMSvc_4c4c6"
"Running","nsi"
"Running","OneSyncSvc_4c4c6"
"Stopped","P9RdrService_4c4c6"
"Running","PcaSvc"
"Stopped","PerfHost"
"Running","PimIndexMaintenanceSvc_4c4c6"
"Stopped","pla"
"Running","PlugPlay"
"Stopped","PolicyAgent"
"Running","Power"
"Stopped","PrintDeviceConfigurationService"
"Stopped","PrintNotify"
"Stopped","PrintScanBrokerService"
"Stopped","PrintWorkflowUserSvc_4c4c6"
"Running","ProfSvc"
"Stopped","PushToInstall"
"Stopped","QEMU Guest Agent VSS Provider"
"Running","QEMU-GA"
"Stopped","QWAVE"
"Stopped","RasAuto"
"Stopped","RasMan"
"Stopped","refsdedupsvc"
"Stopped","RemoteAccess"
"Stopped","RemoteRegistry"
"Running","RmSvc"
"Running","RpcEptMapper"
"Stopped","RpcLocator"
"Running","RpcSs"
"Stopped","RSoPProv"
"Stopped","sacsvr"
"Running","SamSs"
"Stopped","SCardSvr"
"Running","ScDeviceEnum"
"Running","Schedule"
"Stopped","SCPolicySvc"
"Stopped","seclogon"
"Running","SecurityHealthService"
"Stopped","SEMgrSvc"
"Running","SENS"
"Stopped","Sense"
"Stopped","SensorDataService"
"Stopped","SensorService"
"Stopped","SensrSvc"
"Running","SessionEnv"
"Stopped","SgrmBroker"
"Stopped","SharedAccess"
"Running","ShellHWDetection"
"Stopped","shpamsvc"
"Stopped","smphost"
"Stopped","SNMPTrap"
"Running","Spooler"
"Stopped","sppsvc"
"Stopped","SSDPSRV"
"Stopped","ssh-agent"
"Stopped","sshd"
"Stopped","SstpSvc"
"Running","StateRepository"
"Stopped","StiSvc"
"Running","StorSvc"
"Stopped","svsvc"
"Stopped","swprv"
"Running","SysMain"
"Running","SystemEventsBroker"
"Stopped","tapisrv"
"Running","TermService"
"Running","TextInputManagementService"
"Running","Themes"
"Stopped","TieringEngineService"
"Running","TimeBrokerSvc"
"Running","TokenBroker"
"Running","TrkWks"
"Stopped","TrustedInstaller"
"Stopped","tzautoupdate"
"Running","UALSVC"
"Running","UdkUserSvc_4c4c6"
"Stopped","UevAgentService"
"Running","UmRdpService"
"Running","UnistoreSvc_4c4c6"
"Stopped","upnphost"
