[root@localhost ~]# systemctl list-unit-files --type=service --no-pager
UNIT FILE                                             STATE           PRESET
audit-rules.service                                   enabled         enabled
auditd.service                                        enabled         enabled
autovt@.service                                       alias           -
blk-availability.service                              disabled        disabled
capsule@.service                                      static          -
chrony-wait.service                                   disabled        disabled
chronyd-restricted.service                            disabled        disabled
chronyd.service                                       enabled         enabled
com.redhat.Yggdrasil1.Worker1.package_manager.service disabled        disabled
console-getty.service                                 disabled        disabled
container-getty@.service                              static          -
crond.service                                         enabled         enabled
dbus-broker.service                                   enabled         enabled
dbus-org.fedoraproject.FirewallD1.service             alias           -
dbus-org.freedesktop.hostname1.service                alias           -
dbus-org.freedesktop.locale1.service                  alias           -
dbus-org.freedesktop.login1.service                   alias           -
dbus-org.freedesktop.nm-dispatcher.service            alias           -
dbus-org.freedesktop.timedate1.service                alias           -
dbus.service                                          alias           -
debug-shell.service                                   disabled        disabled
dm-event.service                                      static          -
dnf-makecache.service                                 static          -
dnf-system-upgrade-cleanup.service                    static          -
dnf-system-upgrade.service                            disabled        disabled
dracut-cmdline.service                                static          -
dracut-initqueue.service                              static          -
dracut-mount.service                                  static          -
dracut-pre-mount.service                              static          -
dracut-pre-pivot.service                              static          -
dracut-pre-trigger.service                            static          -
dracut-pre-udev.service                               static          -
dracut-shutdown-onfailure.service                     static          -
dracut-shutdown.service                               static          -
emergency.service                                     static          -
fips-crypto-policy-overlay.service                    enabled         enabled
firewalld.service                                     enabled         enabled
fstrim.service                                        static          -
getty@.service                                        enabled         enabled
grub-boot-indeterminate.service                       static          -
grub2-systemd-integration.service                     static          -
initrd-cleanup.service                                static          -
initrd-parse-etc.service                              static          -
initrd-switch-root.service                            static          -
initrd-udevadm-cleanup-db.service                     static          -
insights-client-boot.service                          enabled         enabled
insights-client-results.service                       static          -
insights-client.service                               static          -
irqbalance.service                                    enabled         enabled
kdump.service                                         enabled         enabled
kmod-static-nodes.service                             static          -
kvm_stat.service                                      disabled        disabled
ldconfig.service                                      static          -
logrotate.service                                     static          -
lvm-devices-import.service                            disabled        disabled
lvm2-lvmpolld.service                                 static          -
lvm2-monitor.service                                  enabled         enabled
man-db-cache-update.service                           static          -
man-db-restart-cache-update.service                   disabled        disabled
microcode.service                                     disabled        disabled
modprobe@.service                                     static          -
NetworkManager-dispatcher.service                     enabled         enabled
NetworkManager-wait-online.service                    enabled         enabled
NetworkManager.service                                enabled         enabled
nftables.service                                      disabled        disabled
nis-domainname.service                                disabled        disabled
nm-priv-helper.service                                static          -
pam_namespace.service                                 static          -
qemu-guest-agent.service                              enabled         enabled
quotaon-root.service                                  static          -
quotaon@.service                                      static          -
rc-local.service                                      static          -
rescue.service                                        static          -
rhc-canonical-facts.service                           static          -
rhsm-facts.service                                    disabled        disabled
rhsm.service                                          disabled        disabled
rhsmcertd.service                                     enabled         enabled
rpmdb-migrate.service                                 disabled        enabled
rpmdb-rebuild.service                                 disabled        enabled
rsyslog.service                                       enabled         enabled
selinux-autorelabel-mark.service                      enabled         enabled
selinux-autorelabel.service                           static          -
selinux-check-proper-disable.service                  disabled        disabled
serial-getty@.service                                 disabled        disabled
ssh-host-keys-migration.service                       disabled        disabled
sshd-keygen@.service                                  disabled        disabled
sshd-unix-local@.service                              alias           -
sshd-vsock@.service                                   alias           -
sshd.service                                          enabled         enabled
sshd@.service                                         indirect        disabled
sssd-autofs.service                                   indirect        disabled
sssd-kcm.service                                      indirect        disabled
sssd-nss.service                                      indirect        disabled
sssd-pac.service                                      indirect        disabled
sssd-pam.service                                      indirect        disabled
sssd-ssh.service                                      indirect        disabled
sssd-sudo.service                                     indirect        disabled
sssd.service                                          enabled         enabled
system-update-cleanup.service                         static          -
systemd-ask-password-console.service                  static          -
systemd-ask-password-wall.service                     static          -
systemd-backlight@.service                            static          -
systemd-battery-check.service                         static          -
systemd-binfmt.service                                static          -
systemd-bless-boot.service                            static          -
systemd-boot-check-no-failures.service                disabled        disabled
systemd-boot-random-seed.service                      static          -
systemd-boot-update.service                           disabled        disabled
systemd-bootctl@.service                              static          -
systemd-confext.service                               enabled         enabled
systemd-coredump@.service                             static          -
systemd-creds@.service                                static          -
systemd-exit.service                                  static          -
systemd-firstboot.service                             static          -
systemd-fsck-root.service                             static          -
systemd-fsck@.service                                 static          -
systemd-growfs-root.service                           static          -
systemd-growfs@.service                               static          -
systemd-halt.service                                  static          -
