[root@localhost ~]# systemctl list-unit-files --type=service --no-pagert   
UNIT FILE                                  STATE   
auditd.service                             enabled 
autovt@.service                            enabled 
blk-availability.service                   disabled
chrony-dnssrv@.service                     static  
chrony-wait.service                        disabled
chronyd.service                            enabled 
console-getty.service                      disabled
container-getty@.service                   static  
cpupower.service                           disabled
crond.service                              enabled 
dbus-org.fedoraproject.FirewallD1.service  enabled 
dbus-org.freedesktop.hostname1.service     static  
dbus-org.freedesktop.locale1.service       static  
dbus-org.freedesktop.login1.service        static  
dbus-org.freedesktop.nm-dispatcher.service enabled 
dbus-org.freedesktop.portable1.service     static  
dbus-org.freedesktop.timedate1.service     enabled 
dbus.service                               static  
debug-shell.service                        disabled
dm-event.service                           static  
dnf-makecache.service                      static  
dnf-system-upgrade-cleanup.service         static  
dnf-system-upgrade.service                 disabled
dracut-cmdline.service                     static  
dracut-initqueue.service                   static  
dracut-mount.service                       static  
dracut-pre-mount.service                   static  
dracut-pre-pivot.service                   static  
dracut-pre-trigger.service                 static  
dracut-pre-udev.service                    static  
dracut-shutdown-onfailure.service          static  
dracut-shutdown.service                    static  
ebtables.service                           disabled
emergency.service                          static  
firewalld.service                          enabled 
fstrim.service                             static  
getty@.service                             enabled 
grub-boot-indeterminate.service            static  
halt-local.service                         static  
import-state.service                       enabled 
initrd-cleanup.service                     static  
initrd-parse-etc.service                   static  
initrd-switch-root.service                 static  
initrd-udevadm-cleanup-db.service          static  
insights-client-boot.service               enabled 
insights-client-results.service            static  
insights-client.service                    static  
iprdump.service                            disabled
iprinit.service                            disabled
iprupdate.service                          disabled
irqbalance.service                         enabled 
kdump.service                              enabled 
kmod-static-nodes.service                  static  
kvm_stat.service                           disabled
ldconfig.service                           static  
loadmodules.service                        enabled 
lvm2-lvmpolld.service                      static  
lvm2-monitor.service                       enabled 
lvm2-pvscan@.service                       static  
man-db-cache-update.service                static  
man-db-restart-cache-update.service        disabled
messagebus.service                         static  
microcode.service                          enabled 
NetworkManager-dispatcher.service          enabled 
NetworkManager-wait-online.service         enabled 
NetworkManager.service                     enabled 
nftables.service                           disabled
nis-domainname.service                     enabled 
plymouth-halt.service                      static  
plymouth-kexec.service                     static  
plymouth-poweroff.service                  static  
plymouth-quit-wait.service                 static  
plymouth-quit.service                      static  
plymouth-read-write.service                static  
plymouth-reboot.service                    static  
plymouth-start.service                     static  
plymouth-switch-root-initramfs.service     static  
plymouth-switch-root.service               static  
polkit.service                             static  
qemu-guest-agent.service                   enabled 
quotaon.service                            static  
rc-local.service                           static  
rdisc.service                              disabled
rescue.service                             static  
rhcd.service                               disabled
rhsm-facts.service                         disabled
rhsm.service                               disabled
rhsmcertd.service                          enabled 
rsyslog.service                            enabled 
selinux-autorelabel-mark.service           enabled 
selinux-autorelabel.service                static  
serial-getty@.service                      disabled
sshd-keygen@.service                       disabled
sshd.service                               enabled 
sshd@.service                              static  
sssd-autofs.service                        indirect
sssd-kcm.service                           indirect
sssd-nss.service                           indirect
sssd-pac.service                           indirect
sssd-pam.service                           indirect
sssd-ssh.service                           indirect
sssd-sudo.service                          indirect
sssd.service                               enabled 
syslog.service                             enabled 
system-update-cleanup.service              static  
systemd-ask-password-console.service       static  
systemd-ask-password-plymouth.service      static  
systemd-ask-password-wall.service          static  
systemd-backlight@.service                 static  
systemd-binfmt.service                     static  
systemd-coredump@.service                  static  
systemd-exit.service                       static  
systemd-firstboot.service                  static  
systemd-fsck-root.service                  static  
systemd-fsck@.service                      static  
systemd-halt.service                       static  
systemd-hibernate-resume@.service          static  
systemd-hibernate.service                  static  
systemd-hostnamed.service                  static  
systemd-hwdb-update.service                static  
systemd-hybrid-sleep.service               static  
systemd-initctl.service                    static  
systemd-journal-catalog-update.service     static  
systemd-journal-flush.service              static  
systemd-journald.service                   static  
systemd-kexec.service                      static  
systemd-localed.service                    static  
systemd-logind.service                     static  
systemd-machine-id-commit.service          static  
systemd-modules-load.service               static  
systemd-portabled.service                  static  
systemd-poweroff.service                   static  
systemd-pstore.service                     enabled 
systemd-quotacheck.service                 static  
systemd-random-seed.service                static  
systemd-reboot.service                     static  
systemd-remount-fs.service                 static  
systemd-resolved.service                   disabled
systemd-rfkill.service                     static  
systemd-suspend-then-hibernate.service     static  
systemd-suspend.service                    static  
systemd-sysctl.service                     static  
systemd-sysusers.service                   static  
systemd-timedated.service                  masked  
systemd-tmpfiles-clean.service             static  
systemd-tmpfiles-setup-dev.service         static  
systemd-tmpfiles-setup.service             static  
systemd-udev-settle.service                static  
systemd-udev-trigger.service               static  
systemd-udevd.service                      static  
systemd-update-done.service                static  
systemd-update-utmp-runlevel.service       static  
systemd-update-utmp.service                static  
systemd-user-sessions.service              static  
systemd-vconsole-setup.service             static  
systemd-volatile-root.service              static  
tcsd.service                               disabled
teamd@.service                             static  
timedatex.service                          enabled 
tuned.service                              enabled 
unbound-anchor.service                     static  
user-runtime-dir@.service                  static  
user@.service                              static  

163 unit files listed.
