[root@localhost ~]# systemctl list-unit-files --type srvice --no-pagerervice --no-pager
UNIT FILE                                  STATE           PRESET
auditd.service                             enabled         enabled
autovt@.service                            alias           -
blk-availability.service                   disabled        disabled
chrony-wait.service                        disabled        disabled
chronyd-restricted.service                 disabled        disabled
chronyd.service                            enabled         enabled
console-getty.service                      disabled        disabled
container-getty@.service                   static          -
cpupower.service                           disabled        disabled
crond.service                              enabled         enabled
dbus-broker.service                        enabled         enabled
dbus-org.fedoraproject.FirewallD1.service  alias           -
dbus-org.freedesktop.hostname1.service     alias           -
dbus-org.freedesktop.locale1.service       alias           -
dbus-org.freedesktop.login1.service        alias           -
dbus-org.freedesktop.nm-dispatcher.service alias           -
dbus-org.freedesktop.timedate1.service     alias           -
dbus.service                               alias           -
debug-shell.service                        disabled        disabled
dm-event.service                           static          -
dnf-makecache.service                      static          -
dnf-system-upgrade-cleanup.service         static          -
dnf-system-upgrade.service                 disabled        disabled
dracut-cmdline.service                     static          -
dracut-initqueue.service                   static          -
dracut-mount.service                       static          -
dracut-pre-mount.service                   static          -
dracut-pre-pivot.service                   static          -
dracut-pre-trigger.service                 static          -
dracut-pre-udev.service                    static          -
dracut-shutdown-onfailure.service          static          -
dracut-shutdown.service                    static          -
emergency.service                          static          -
firewalld.service                          enabled         enabled
fstrim.service                             static          -
getty@.service                             enabled         enabled
grub-boot-indeterminate.service            static          -
grub2-systemd-integration.service          static          -
initrd-cleanup.service                     static          -
initrd-parse-etc.service                   static          -
initrd-switch-root.service                 static          -
initrd-udevadm-cleanup-db.service          static          -
insights-client-boot.service               enabled         enabled
insights-client-results.service            static          -
insights-client.service                    static          -
irqbalance.service                         enabled         enabled
kdump.service                              enabled         enabled
kmod-static-nodes.service                  static          -
kvm_stat.service                           disabled        disabled
ldconfig.service                           static          -
logrotate.service                          static          -
lvm-devices-import.service                 disabled        disabled
lvm2-lvmpolld.service                      static          -
lvm2-monitor.service                       enabled         enabled
man-db-cache-update.service                static          -
man-db-restart-cache-update.service        disabled        disabled
microcode.service                          enabled         enabled
modprobe@.service                          static          -
NetworkManager-dispatcher.service          enabled         enabled
NetworkManager-wait-online.service         enabled         disabled
NetworkManager.service                     enabled         enabled
nftables.service                           disabled        disabled
nis-domainname.service                     enabled         enabled
nm-priv-helper.service                     static          -
pam_namespace.service                      static          -
qemu-guest-agent.service                   enabled         enabled
quotaon.service                            static          -
rc-local.service                           static          -
rdisc.service                              disabled        disabled
rescue.service                             static          -
rhcd.service                               disabled        disabled
rhsm-facts.service                         disabled        disabled
rhsm.service                               disabled        disabled
rhsmcertd.service                          enabled         enabled
rpmdb-rebuild.service                      disabled        disabled
rsyslog.service                            enabled         enabled
selinux-autorelabel-mark.service           enabled         enabled
selinux-autorelabel.service                static          -
selinux-check-proper-disable.service       disabled        disabled
