[root@localhost ~]# systemctl list-unit-files --no-pager
UNIT FILE                                                                 STATE           PRESET
proc-sys-fs-binfmt_misc.automount                                         static          -
-.mount                                                                   generated       -
boot.mount                                                                generated       -
dev-hugepages.mount                                                       static          -
dev-mqueue.mount                                                          static          -
proc-sys-fs-binfmt_misc.mount                                             disabled        disabled
sys-fs-fuse-connections.mount                                             static          -
sys-kernel-config.mount                                                   static          -
sys-kernel-debug.mount                                                    static          -
sys-kernel-tracing.mount                                                  static          -
tmp.mount                                                                 disabled        disabled
insights-client-results.path                                              disabled        disabled
lvm-devices-import.path                                                   disabled        disabled
systemd-ask-password-console.path                                         static          -
systemd-ask-password-wall.path                                            static          -
session-1.scope                                                           transient       -
audit-rules.service                                                       enabled         enabled
auditd.service                                                            enabled         enabled
autovt@.service                                                           alias           -
blk-availability.service                                                  disabled        disabled
capsule@.service                                                          static          -
chrony-wait.service                                                       disabled        disabled
chronyd-restricted.service                                                disabled        disabled
chronyd.service                                                           enabled         enabled
com.redhat.Yggdrasil1.Worker1.package_manager.service                     disabled        disabled
console-getty.service                                                     disabled        disabled
container-getty@.service                                                  static          -
crond.service                                                             enabled         enabled
dbus-broker.service                                                       enabled         enabled
dbus-org.fedoraproject.FirewallD1.service                                 alias           -
dbus-org.freedesktop.hostname1.service                                    alias           -
dbus-org.freedesktop.locale1.service                                      alias           -
dbus-org.freedesktop.login1.service                                       alias           -
dbus-org.freedesktop.nm-dispatcher.service                                alias           -
dbus-org.freedesktop.timedate1.service                                    alias           -
dbus.service                                                              alias           -
debug-shell.service                                                       disabled        disabled
dm-event.service                                                          static          -
dnf-makecache.service                                                     static          -
dnf-system-upgrade-cleanup.service                                        static          -
dnf-system-upgrade.service                                                disabled        disabled
dracut-cmdline.service                                                    static          -
dracut-initqueue.service                                                  static          -
dracut-mount.service                                                      static          -
dracut-pre-mount.service                                                  static          -
dracut-pre-pivot.service                                                  static          -
dracut-pre-trigger.service                                                static          -
dracut-pre-udev.service                                                   static          -
dracut-shutdown-onfailure.service                                         static          -
dracut-shutdown.service                                                   static          -
emergency.service                                                         static          -
fips-crypto-policy-overlay.service                                        enabled         enabled
firewalld.service                                                         enabled         enabled
fstrim.service                                                            static          -
getty@.service                                                            enabled         enabled
grub-boot-indeterminate.service                                           static          -
grub2-systemd-integration.service                                         static          -
initrd-cleanup.service                                                    static          -
initrd-parse-etc.service                                                  static          -
initrd-switch-root.service                                                static          -
initrd-udevadm-cleanup-db.service                                         static          -
insights-client-boot.service                                              enabled         enabled
insights-client-results.service                                           static          -
insights-client.service                                                   static          -
irqbalance.service                                                        enabled         enabled
kdump.service                                                             enabled         enabled
kmod-static-nodes.service                                                 static          -
kvm_stat.service                                                          disabled        disabled
ldconfig.service                                                          static          -
logrotate.service                                                         static          -
lvm-devices-import.service                                                disabled        disabled
lvm2-lvmpolld.service                                                     static          -
lvm2-monitor.service                                                      enabled         enabled
man-db-cache-update.service                                               static          -
man-db-restart-cache-update.service                                       disabled        disabled
microcode.service                                                         disabled        disabled
modprobe@.service                                                         static          -
NetworkManager-dispatcher.service                                         enabled         enabled
NetworkManager-wait-online.service                                        enabled         enabled
NetworkManager.service                                                    enabled         enabled
nftables.service                                                          disabled        disabled
nis-domainname.service                                                    disabled        disabled
nm-priv-helper.service                                                    static          -
pam_namespace.service                                                     static          -
qemu-guest-agent.service                                                  enabled         enabled
quotaon-root.service                                                      static          -
quotaon@.service                                                          static          -
rc-local.service                                                          static          -
rescue.service                                                            static          -
rhc-canonical-facts.service                                               static          -
rhsm-facts.service                                                        disabled        disabled
rhsm.service                                                              disabled        disabled
rhsmcertd.service                                                         enabled         enabled
rpmdb-migrate.service                                                     disabled        enabled
rpmdb-rebuild.service                                                     disabled        enabled
rsyslog.service                                                           enabled         enabled
selinux-autorelabel-mark.service                                          enabled         enabled
selinux-autorelabel.service                                               static          -
selinux-check-proper-disable.service                                      disabled        disabled
serial-getty@.service                                                     disabled        disabled
ssh-host-keys-migration.service                                           disabled        disabled
sshd-keygen@.service                                                      disabled        disabled
sshd-unix-local@.service                                                  alias           -
sshd-vsock@.service                                                       alias           -
sshd.service                                                              enabled         enabled
sshd@.service                                                             indirect        disabled
sssd-autofs.service                                                       indirect        disabled
sssd-kcm.service                                                          indirect        disabled
sssd-nss.service                                                          indirect        disabled
sssd-pac.service                                                          indirect        disabled
sssd-pam.service                                                          indirect        disabled
sssd-ssh.service                                                          indirect        disabled
sssd-sudo.service                                                         indirect        disabled
sssd.service                                                              enabled         enabled
system-update-cleanup.service                                             static          -
systemd-ask-password-console.service                                      static          -
systemd-ask-password-wall.service                                         static          -
systemd-backlight@.service                                                static          -
systemd-battery-check.service                                             static          -
systemd-binfmt.service                                                    static          -
systemd-bless-boot.service                                                static          -
systemd-boot-check-no-failures.service                                    disabled        disabled
systemd-boot-random-seed.service                                          static          -
systemd-boot-update.service                                               disabled        disabled
systemd-bootctl@.service                                                  static          -
systemd-confext.service                                                   enabled         enabled
systemd-coredump@.service                                                 static          -
systemd-creds@.service                                                    static          -
systemd-exit.service                                                      static          -
systemd-firstboot.service                                                 static          -
systemd-fsck-root.service                                                 static          -
systemd-fsck@.service                                                     static          -
systemd-growfs-root.service                                               static          -
systemd-growfs@.service                                                   static          -
systemd-halt.service                                                      static          -
systemd-hibernate-clear.service                                           static          -
systemd-hibernate-resume.service                                          static          -
systemd-hibernate.service                                                 static          -
systemd-hostnamed.service                                                 static          -
systemd-hwdb-update.service                                               static          -
systemd-hybrid-sleep.service                                              static          -
systemd-initctl.service                                                   static          -
systemd-journal-catalog-update.service                                    static          -
systemd-journal-flush.service                                             static          -
systemd-journald-sync@.service                                            static          -
systemd-journald.service                                                  static          -
systemd-journald@.service                                                 static          -
systemd-kexec.service                                                     static          -
systemd-localed.service                                                   static          -
systemd-logind.service                                                    static          -
systemd-machine-id-commit.service                                         static          -
systemd-modules-load.service                                              static          -
systemd-network-generator.service                                         enabled         enabled
systemd-pcrextend@.service                                                static          -
systemd-pcrfs-root.service                                                static          -
systemd-pcrfs@.service                                                    static          -
systemd-pcrlock-file-system.service                                       disabled        disabled
systemd-pcrlock-firmware-code.service                                     disabled        disabled
systemd-pcrlock-firmware-config.service                                   disabled        disabled
systemd-pcrlock-machine-id.service                                        disabled        disabled
systemd-pcrlock-make-policy.service                                       disabled        disabled
systemd-pcrlock-secureboot-authority.service                              disabled        disabled
systemd-pcrlock-secureboot-policy.service                                 disabled        disabled
systemd-pcrlock@.service                                                  static          -
systemd-pcrmachine.service                                                static          -
systemd-pcrphase-initrd.service                                           static          -
systemd-pcrphase-sysinit.service                                          static          -
systemd-pcrphase.service                                                  static          -
systemd-poweroff.service                                                  static          -
systemd-pstore.service                                                    enabled         enabled
systemd-quotacheck-root.service                                           static          -
systemd-quotacheck@.service                                               static          -
systemd-random-seed.service                                               static          -
systemd-reboot.service                                                    static          -
systemd-remount-fs.service                                                enabled-runtime disabled
systemd-repart.service                                                    static          -
systemd-rfkill.service                                                    static          -
systemd-soft-reboot.service                                               static          -
systemd-suspend-then-hibernate.service                                    static          -
systemd-suspend.service                                                   static          -
systemd-sysctl.service                                                    static          -
systemd-sysext.service                                                    enabled         enabled
systemd-sysext@.service                                                   static          -
systemd-sysupdate-reboot.service                                          indirect        disabled
systemd-sysupdate.service                                                 indirect        disabled
systemd-sysusers.service                                                  static          -
systemd-timedated.service                                                 static          -
systemd-tmpfiles-clean.service                                            static          -
systemd-tmpfiles-setup-dev-early.service                                  static          -
systemd-tmpfiles-setup-dev.service                                        static          -
systemd-tmpfiles-setup.service                                            static          -
systemd-tpm2-setup-early.service                                          static          -
systemd-tpm2-setup.service                                                static          -
systemd-udev-load-credentials.service                                     disabled        disabled
systemd-udev-settle.service                                               static          -
systemd-udev-trigger.service                                              static          -
systemd-udevd.service                                                     static          -
systemd-update-done.service                                               static          -
systemd-update-utmp-runlevel.service                                      static          -
systemd-update-utmp.service                                               static          -
systemd-user-sessions.service                                             static          -
systemd-userdbd.service                                                   indirect        disabled
systemd-vconsole-setup.service                                            static          -
systemd-volatile-root.service                                             static          -
user-runtime-dir@.service                                                 static          -
user@.service                                                             static          -
yggdrasil-bus@.service                                                    static          -
yggdrasil.service                                                         disabled        disabled
yggdrasil@.service                                                        disabled        disabled
capsule.slice                                                             static          -
system-systemd\x2dcryptsetup.slice                                        static          -
system-systemd\x2dveritysetup.slice                                       static          -
system-xfs_scrub.slice                                                    disabled        disabled
user.slice                                                                static          -
dbus.socket                                                               enabled         enabled
dm-event.socket                                                           enabled         enabled
lvm2-lvmpolld.socket                                                      enabled         enabled
sshd-unix-local.socket                                                    generated       -
sshd-vsock.socket                                                         generated       -
sshd.socket                                                               disabled        disabled
sssd-autofs.socket                                                        disabled        disabled
sssd-kcm.socket                                                           enabled         enabled
sssd-nss.socket                                                           disabled        disabled
sssd-pac.socket                                                           disabled        disabled
sssd-pam.socket                                                           disabled        disabled
sssd-ssh.socket                                                           disabled        disabled
sssd-sudo.socket                                                          disabled        disabled
syslog.socket                                                             static          -
systemd-bootctl.socket                                                    static          -
systemd-coredump.socket                                                   static          -
systemd-creds.socket                                                      static          -
systemd-hostnamed.socket                                                  static          -
systemd-initctl.socket                                                    static          -
systemd-journald-audit.socket                                             disabled        disabled
systemd-journald-dev-log.socket                                           static          -
systemd-journald-varlink@.socket                                          static          -
systemd-journald.socket                                                   static          -
systemd-journald@.socket                                                  disabled        disabled
systemd-pcrextend.socket                                                  disabled        disabled
systemd-pcrlock.socket                                                    disabled        disabled
systemd-rfkill.socket                                                     static          -
systemd-sysext.socket                                                     disabled        disabled
systemd-udevd-control.socket                                              static          -
systemd-udevd-kernel.socket                                               static          -
systemd-userdbd.socket                                                    enabled         enabled
yggdrasil-bus@.socket                                                     disabled        disabled
dev-disk-by\x2duuid-79214703\x2dbd36\x2d408d\x2db738\x2d377d4ad6d755.swap generated       -
basic.target                                                              static          -
blockdev@.target                                                          static          -
bluetooth.target                                                          static          -
boot-complete.target                                                      static          -
cryptsetup-pre.target                                                     static          -
cryptsetup.target                                                         static          -
ctrl-alt-del.target                                                       alias           -
default.target                                                            alias           -
emergency.target                                                          static          -
exit.target                                                               disabled        disabled
factory-reset.target                                                      static          -
final.target                                                              static          -
first-boot-complete.target                                                static          -
getty-pre.target                                                          static          -
getty.target                                                              static          -
graphical.target                                                          static          -
halt.target                                                               disabled        disabled
hibernate.target                                                          static          -
hybrid-sleep.target                                                       static          -
initrd-fs.target                                                          static          -
initrd-root-device.target                                                 static          -
initrd-root-fs.target                                                     static          -
initrd-switch-root.target                                                 static          -
initrd-usr-fs.target                                                      static          -
initrd.target                                                             static          -
integritysetup-pre.target                                                 static          -
integritysetup.target                                                     static          -
kexec.target                                                              disabled        disabled
local-fs-pre.target                                                       static          -
local-fs.target                                                           static          -
multi-user.target                                                         indirect        disabled
network-online.target                                                     static          -
network-pre.target                                                        static          -
network.target                                                            static          -
nss-lookup.target                                                         static          -
nss-user-lookup.target                                                    static          -
paths.target                                                              static          -
poweroff.target                                                           disabled        disabled
printer.target                                                            static          -
reboot.target                                                             enabled         enabled
remote-cryptsetup.target                                                  enabled         enabled
remote-fs-pre.target                                                      static          -
remote-fs.target                                                          enabled         enabled
remote-veritysetup.target                                                 disabled        disabled
rescue.target                                                             static          -
rpcbind.target                                                            static          -
runlevel0.target                                                          alias           -
runlevel1.target                                                          alias           -
runlevel2.target                                                          alias           -
runlevel3.target                                                          alias           -
runlevel4.target                                                          alias           -
runlevel5.target                                                          alias           -
runlevel6.target                                                          alias           -
selinux-autorelabel.target                                                static          -
shutdown.target                                                           static          -
sigpwr.target                                                             static          -
sleep.target                                                              static          -
slices.target                                                             static          -
smartcard.target                                                          static          -
sockets.target                                                            static          -
soft-reboot.target                                                        static          -
sound.target                                                              static          -
ssh-access.target                                                         static          -
sshd-keygen.target                                                        static          -
suspend-then-hibernate.target                                             static          -
suspend.target                                                            static          -
swap.target                                                               static          -
sysinit.target                                                            static          -
system-update-pre.target                                                  static          -
system-update.target                                                      static          -
time-set.target                                                           static          -
time-sync.target                                                          static          -
timers.target                                                             static          -
tpm2.target                                                               static          -
umount.target                                                             static          -
usb-gadget.target                                                         static          -
veritysetup-pre.target                                                    static          -
veritysetup.target                                                        static          -
dnf-makecache.timer                                                       enabled         enabled
fstrim.timer                                                              enabled         enabled
insights-client.timer                                                     disabled        disabled
logrotate.timer                                                           enabled         enabled
rhc-canonical-facts.timer                                                 disabled        disabled
systemd-sysupdate-reboot.timer                                            disabled        disabled
systemd-sysupdate.timer                                                   disabled        disabled
systemd-tmpfiles-clean.timer                                              static          -

333 unit files listed.
